

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
       Maxwell	 2.129e+00	 2.129e+00	 2.129e+00	 0.000e+00
    Maxwell_BC	 1.349e+00	 1.349e+00	 1.349e+00	 0.000e+00
   Diagnostics	 9.820e+00	 9.820e+00	 9.820e+00	 0.000e+00
     Densities	 7.453e-01	 7.453e-01	 7.453e-01	 0.000e+00
    Collisions	 1.425e+00	 1.425e+00	 1.425e+00	 0.000e+00
    Mov window	 3.915e-01	 3.915e-01	 3.915e-01	 0.000e+00
Sync Particles	 1.578e+01	 1.578e+01	 1.578e+01	 0.000e+00
   Sync Fields	 2.766e+00	 2.766e+00	 2.766e+00	 0.000e+00
Sync Densities	 3.247e+00	 3.247e+00	 3.247e+00	 0.000e+00
  Part Merging	 9.021e-01	 9.021e-01	 9.021e-01	 0.000e+00
Part Injection	 8.376e-01	 8.376e-01	 8.376e-01	 0.000e+00


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.092e+01	 5.092e+01	 5.092e+01	 0.000e+00
       Maxwell	 2.384e+00	 2.384e+00	 2.384e+00	 0.000e+00
    Maxwell_BC	 1.517e+00	 1.517e+00	 1.517e+00	 0.000e+00
   Diagnostics	 1.109e+01	 1.109e+01	 1.109e+01	 0.000e+00
     Densities	 8.485e-01	 8.485e-01	 8.485e-01	 0.000e+00
    Collisions	 1.613e+00	 1.613e+00	 1.613e+00	 0.000e+00
    Mov window	 4.387e-01	 4.387e-01	 4.387e-01	 0.000e+00
Sync Particles	 1.795e+01	 1.795e+01	 1.795e+01	 0.000e+00
   Sync Fields	 3.094e+00	 3.094e+00	 3.094e+00	 0.000e+00
Sync Densities	 3.682e+00	 3.682e+00	 3.682e+00	 0.000e+00
  Part Merging	 1.025e+00	 1.025e+00	 1.025e+00	 0.000e+00
Part Injection	 9.494e-01	 9.494e-01	 9.494e-01	 0.000e+00


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.725e+01	 5.725e+01	 5.725e+01	 0.000e+00
       Maxwell	 2.646e+00	 2.646e+00	 2.646e+00	 0.000e+00
    Maxwell_BC	 1.665e+00	 1.665e+00	 1.665e+00	 0.000e+00
   Diagnostics	 1.221e+01	 1.221e+01	 1.221e+01	 0.000e+00
     Densities	 9.339e-01	 9.339e-01	 9.339e-01	 0.000e+00
    Collisions	 1.780e+00	 1.780e+00	 1.780e+00	 0.000e+00
    Mov window	 4.806e-01	 4.806e-01	 4.806e-01	 0.000e+00
Sync Particles	 1.980e+01	 1.980e+01	 1.980e+01	 0.000e+00
   Sync Fields	 3.367e+00	 3.367e+00	 3.367e+00	 0.000e+00
Sync Densities	 4.093e+00	 4.093e+00	 4.093e+00	 0.000e+00
  Part Merging	 1.133e+00	 1.133e+00	 1.133e+00	 0.000e+00
Part Injection	 1.050e+00	 1.050e+00	 1.050e+00	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.378e+01	 6.378e+01	 6.378e+01	 0.000e+00
       Maxwell	 2.992e+00	 2.992e+00	 2.992e+00	 0.000e+00
    Maxwell_BC	 1.845e+00	 1.845e+00	 1.845e+00	 0.000e+00
   Diagnostics	 1.360e+01	 1.360e+01	 1.360e+01	 0.000e+00
     Densities	 1.036e+00	 1.036e+00	 1.036e+00	 0.000e+00
    Collisions	 1.961e+00	 1.961e+00	 1.961e+00	 0.000e+00
    Mov window	 5.284e-01	 5.284e-01	 5.284e-01	 0.000e+00
Sync Particles	 2.208e+01	 2.208e+01	 2.208e+01	 0.000e+00
   Sync Fields	 3.753e+00	 3.753e+00	 3.753e+00	 0.000e+00
Sync Densities	 4.536e+00	 4.536e+00	 4.536e+00	 0.000e+00
  Part Merging	 1.276e+00	 1.276e+00	 1.276e+00	 0.000e+00
Part Injection	 1.188e+00	 1.188e+00	 1.188e+00	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.378e+01	 6.378e+01	 6.378e+01	 0.000e+00
       Maxwell	 2.992e+00	 2.992e+00	 2.992e+00	 0.000e+00
    Maxwell_BC	 1.845e+00	 1.845e+00	 1.845e+00	 0.000e+00
   Diagnostics	 1.360e+01	 1.360e+01	 1.360e+01	 0.000e+00
     Densities	 1.036e+00	 1.036e+00	 1.036e+00	 0.000e+00
    Collisions	 1.961e+00	 1.961e+00	 1.961e+00	 0.000e+00
    Mov window	 5.284e-01	 5.284e-01	 5.284e-01	 0.000e+00
Sync Particles	 2.208e+01	 2.208e+01	 2.208e+01	 0.000e+00
   Sync Fields	 3.753e+00	 3.753e+00	 3.753e+00	 0.000e+00
Sync Densities	 4.536e+00	 4.536e+00	 4.536e+00	 0.000e+00
  Part Merging	 1.276e+00	 1.276e+00	 1.276e+00	 0.000e+00
Part Injection	 1.188e+00	 1.188e+00	 1.188e+00	 0.000e+00
