# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_electrons
# 18 Ntot_electrons
# 19 Zavg_electrons
# 20 Ukin_electrons
# 21 Urad_electrons
# 22 Dens_ions
# 23 Ntot_ions
# 24 Zavg_ions
# 25 Ukin_ions
# 26 Urad_ions
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw      Dens_electrons      Ntot_electrons      Zavg_electrons      Ukin_electrons      Urad_electrons           Dens_ions           Ntot_ions           Zavg_ions           Ukin_ions           Urad_ions             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.6724071971e-04    2.6724071971e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.6724071971e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    8.0000000000e+05   -1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    8.0000000000e+05    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3474665766e-04    1.3249406205e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -2.3750360153e-03               26845    2.4041784319e-03               73414   -2.3255943877e-03               62523    2.2822371649e-03               62834    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.4364130760e-02               72756    6.8260717270e-02               37667    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    5.0000000000e+00   -4.7391492131e-04   -2.1227887553e-05    4.4792612763e-02    4.4813840651e-02    4.4719083257e-02    0.0000000000e+00    0.0000000000e+00    7.3529505901e-05    9.0711036327e-10    0.0000000000e+00    0.0000000000e+00    4.4546489212e-02    1.1162617376e-07    0.0000000000e+00    0.0000000000e+00    8.0002970966e+01    8.0990000000e+05   -1.0000000000e+00    1.9651416796e-04    0.0000000000e+00    8.0004813536e+01    8.1003200000e+05    1.0000000000e+00    4.4522569089e-02    0.0000000000e+00    3.6857566224e-05    3.6648397529e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.3542147907e-08   -1.2490588487e-03               70057    1.3525204971e-03               20413   -1.3655404752e-03               21929    1.3932634658e-03               37668    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -8.0924910261e-06                 186    6.7366311771e-05               80054   -6.0485029674e-04                2531    6.1435298431e-04               11991   -5.4560129048e-04               50832    5.1110795115e-04               79458    0.0000000000e+00                 151    0.0000000000e+00                 151   -3.7289328199e-02               10384    4.6934101201e-02               37667    1.0358691321e-08    5.5555822119e-10    0.0000000000e+00    0.0000000000e+00    1.0126748244e-07   -2.3797058229e-09    0.0000000000e+00    0.0000000000e+00
    1.0000000000e+01   -1.8384845993e-04   -2.7454859181e-05    1.4933418094e-01    1.4936163580e-01    1.4921487118e-01    0.0000000000e+00    0.0000000000e+00    1.1930975427e-04    8.3829603358e-09    0.0000000000e+00    0.0000000000e+00    1.4909388136e-01    5.2210272440e-07    0.0000000000e+00    0.0000000000e+00    8.0010078454e+01    8.1986100000e+05   -1.0000000000e+00    2.0199573116e-04    0.0000000000e+00    8.0016110496e+01    8.2000400000e+05    1.0000000000e+00    1.4901287545e-01    0.0000000000e+00    6.0223757027e-05    5.8833260577e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.5273666418e-07   -1.6993678743e-03               62259    1.7523138882e-03               30053   -1.6646935028e-03               69526    1.6878809896e-03               40923    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -3.3327619852e-05                 262    1.6057751362e-04               80006   -3.6615612547e-04               58492    3.8000775248e-04               78277   -3.4037555470e-04               76661    3.4997494804e-04                1206    0.0000000000e+00                 151    0.0000000000e+00                 151   -3.6452532142e-02               39038    2.4555528590e-02                8591    2.7029047853e-08   -3.6209088634e-10    0.0000000000e+00    0.0000000000e+00    4.9507367655e-07   -5.2831402712e-09    0.0000000000e+00    0.0000000000e+00
    1.5000000000e+01   -5.2028380528e-05   -1.9903030135e-05    3.8254179610e-01    3.8256169913e-01    3.8242057603e-01    0.0000000000e+00    0.0000000000e+00    1.2122006471e-04    1.6372898243e-08    0.0000000000e+00    0.0000000000e+00    3.8229341124e-01    1.0635432668e-06    0.0000000000e+00    0.0000000000e+00    8.0031809581e+01    8.2990700000e+05   -1.0000000000e+00    3.3493921038e-04    0.0000000000e+00    8.0041309124e+01    8.3005600000e+05    1.0000000000e+00    3.8208563682e-01    0.0000000000e+00    6.0988015063e-05    5.9675421560e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.5662808927e-07   -1.8299890286e-03               78277    1.7592842118e-03               73156   -1.9188230539e-03               66814    1.7493386258e-03               39038    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -3.1122957174e-05                 328    2.1737847422e-04               80006   -5.2583314113e-04               75306    5.2770593110e-04                8682   -4.9666348980e-04               79458    5.0475536478e-04                 691    0.0000000000e+00                 101    0.0000000000e+00                 101   -5.4539060357e-02               78077    3.0030978166e-02               39799   -2.4184442619e-08   -4.7253848151e-10    0.0000000000e+00    0.0000000000e+00    1.0877277094e-06   -6.1627887333e-09    0.0000000000e+00    0.0000000000e+00
    2.0000000000e+01   -1.9882495878e-05   -1.7189593863e-05    8.6455915640e-01    8.6457634599e-01    8.6441513776e-01    0.0000000000e+00    0.0000000000e+00    1.4401863868e-04    2.3560454286e-08    0.0000000000e+00    0.0000000000e+00    8.6430750750e-01    1.6213343838e-06    0.0000000000e+00    0.0000000000e+00    8.0080936112e+01    8.4007000000e+05   -1.0000000000e+00    5.7859052956e-04    0.0000000000e+00    8.0093393474e+01    8.4015900000e+05    1.0000000000e+00    8.6383654723e-01    0.0000000000e+00    7.2340659759e-05    7.1060574316e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.1740460154e-07   -1.6070715128e-03               80013    1.8131754155e-03               48497   -1.9757689642e-03               46208    1.6511618559e-03               62833    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -2.8507725651e-05                 494    2.3302334900e-04               80007   -5.4991816558e-04                 576    6.1407947200e-04                 581   -3.9375001321e-04               79466    4.0503038820e-04               79769    0.0000000000e+00                 101    0.0000000000e+00                 101   -3.8050713357e-02               73156    3.6775433031e-02               66153   -4.8681067603e-08   -1.2491440116e-11    0.0000000000e+00    0.0000000000e+00    1.6700154514e-06   -5.2724167515e-09    0.0000000000e+00    0.0000000000e+00
    2.5000000000e+01   -1.0876631991e-05   -1.9197247023e-05    1.7649992239e+00    1.7650184212e+00    1.7648729649e+00    0.0000000000e+00    0.0000000000e+00    1.2625906015e-04    3.2528302059e-08    0.0000000000e+00    0.0000000000e+00    1.7647491924e+00    2.0206102655e-06    0.0000000000e+00    0.0000000000e+00    8.0175771596e+01    8.5002100000e+05   -1.0000000000e+00    1.0879341388e-03    0.0000000000e+00    8.0190691136e+01    8.5003600000e+05    1.0000000000e+00    1.7637850307e+00    0.0000000000e+00    6.3642980086e-05    6.1793229826e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.2285023502e-07   -1.8447429974e-03               80013    1.7394445151e-03               73613   -1.5758199139e-03               57309    1.5987718250e-03               29952    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.2614474075e-05                 258    2.5469089092e-04               80053   -9.1734723595e-04                1119    8.5819992240e-04                 439   -4.6270302855e-04               17110    4.7947408760e-04               36485    0.0000000000e+00                   1    0.0000000000e+00                   1   -3.9888427224e-02               11693    3.5913387516e-02               68900   -1.0991470935e-07   -1.1181318043e-09    0.0000000000e+00    0.0000000000e+00    2.1305249749e-06   -3.9032391135e-09    0.0000000000e+00    0.0000000000e+00
    3.0000000000e+01   -6.7236785896e-06   -2.2822650904e-05    3.3943697040e+00    3.3943925267e+00    3.3942415882e+00    0.0000000000e+00    0.0000000000e+00    1.2811584104e-04    4.2479122512e-08    0.0000000000e+00    0.0000000000e+00    3.3941231652e+00    2.1632070971e-06    0.0000000000e+00    0.0000000000e+00    8.0345126602e+01    8.5976000000e+05   -1.0000000000e+00    1.9561991621e-03    0.0000000000e+00    8.0366756622e+01    8.6004000000e+05    1.0000000000e+00    3.3922853890e+00    0.0000000000e+00    6.4228637037e-05    6.2653814792e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2333892070e-06   -2.1069555191e-03                 566    1.7665236022e-03                 238   -1.5684884712e-03               62508    1.6365689711e-03               62924    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.1182343232e-04                 263    3.0288282852e-04               80071   -1.5010328037e-03                 241    1.7343571669e-03                 405   -4.7507097833e-04               79463    4.0285583043e-04               25058    0.0000000000e+00                 101    0.0000000000e+00                 101   -4.4745416792e-02               62394    3.4874043638e-02               65225   -2.8012612144e-07   -2.9587929134e-09    0.0000000000e+00    0.0000000000e+00    2.4433332185e-06   -2.3461911074e-09    0.0000000000e+00    0.0000000000e+00
    3.5000000000e+01   -3.8815187091e-06   -2.3657062622e-05    6.0947954641e+00    6.0948191212e+00    6.0946783361e+00    0.0000000000e+00    0.0000000000e+00    1.1712796620e-04    6.0374088909e-08    0.0000000000e+00    0.0000000000e+00    6.0945501827e+00    1.7580811132e-06    0.0000000000e+00    0.0000000000e+00    8.0634498231e+01    8.6968800000e+05   -1.0000000000e+00    3.4547603896e-03    0.0000000000e+00    8.0658553408e+01    8.6998000000e+05    1.0000000000e+00    6.0912235757e+00    0.0000000000e+00    5.9126818908e-05    5.6596967694e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.4041795998e-06   -2.0774195233e-03                 377    1.9932744203e-03                 539   -1.9883018312e-03                 138    2.0622991968e-03                  91    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.6626640157e-04                1263    3.1804379228e-04               80071   -2.2467269886e-03                 316    2.6200242134e-03                 318   -4.9296888369e-04               19507    4.6548644455e-04                 231    0.0000000000e+00                 101    0.0000000000e+00                 101   -4.0225955129e-02               47069    4.7129061793e-02                   6   -8.3761077867e-07   -6.7024602099e-09    0.0000000000e+00    0.0000000000e+00    2.5956918918e-06   -6.9289847039e-10    0.0000000000e+00    0.0000000000e+00
    4.0000000000e+01   -2.0941293655e-06   -2.1774136162e-05    1.0397703466e+01    1.0397725240e+01    1.0397569184e+01    0.0000000000e+00    0.0000000000e+00    1.3428177615e-04    1.2295602746e-07    0.0000000000e+00    0.0000000000e+00    1.0397456966e+01    1.1559603290e-06    0.0000000000e+00    0.0000000000e+00    8.1088744144e+01    8.7966900000e+05   -1.0000000000e+00    5.7417826485e-03    0.0000000000e+00    8.1123511439e+01    8.8014300000e+05    1.0000000000e+00    1.0391827401e+01    0.0000000000e+00    6.8851394214e-05    6.4206108348e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2242735889e-06   -4.1040972884e-03                 305    3.3751373415e-03                 360   -2.3153423322e-03                  68    2.2776676119e-03                  80    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -3.0378659076e-04                 300    3.5287112362e-04                 511   -5.7004487789e-03                 259    3.9387921844e-03                 504   -6.7107854269e-04                 900    6.5803143329e-04                 291    0.0000000000e+00                 151    0.0000000000e+00                 151   -4.1370242593e-02                1690    5.6410086398e-02                 197   -1.4275455037e-06   -1.5478582908e-08    0.0000000000e+00    0.0000000000e+00    2.5835058326e-06    8.9759806781e-10    0.0000000000e+00    0.0000000000e+00
    4.5000000000e+01   -1.2207484827e-06   -2.0103348312e-05    1.6468051033e+01    1.6468071137e+01    1.6467908299e+01    0.0000000000e+00    0.0000000000e+00    1.4273434473e-04    3.0468699082e-07    0.0000000000e+00    0.0000000000e+00    1.6467805303e+01   -1.1022142082e-06    0.0000000000e+00    0.0000000000e+00    8.1739393884e+01    8.8950800000e+05   -1.0000000000e+00    9.0794675604e-03    0.0000000000e+00    8.1779446934e+01    8.9002900000e+05    1.0000000000e+00    1.6458828831e+01    0.0000000000e+00    7.4937598396e-05    6.6442734021e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3540123161e-06   -5.2410290059e-03                 275    4.5435744446e-03                 325   -3.8038393594e-03                 198    3.4185660334e-03                 169    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -4.9882597117e-04                 532    5.1461108069e-04                 281   -5.7343348153e-03                 463    5.6914555754e-03                 276   -1.0690446560e-03                1171    7.7730971213e-04                1311    0.0000000000e+00                 151    0.0000000000e+00                 151   -5.6744782314e-02                 481    7.5930640865e-02                 276   -3.5304671599e-06   -4.9309900210e-08    0.0000000000e+00    0.0000000000e+00    2.4282529518e-06    2.2935898409e-09    0.0000000000e+00    0.0000000000e+00
